               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,             0.02157,           0.0099361,                   0,             0.88585,             0.81158,             0.88289,             0.64643,            0.017308,           0.0047795,                   0,           0.0004456,           0.0004456,           0.0004456
                  58,            0.021441,           0.0092629,                   0,             0.85845,             0.74946,             0.81891,             0.60219,            0.017568,             0.00536,                   0,           0.0004357,           0.0004357,           0.0004357
                  59,            0.020061,            0.008878,                   0,              0.8844,             0.76471,             0.85299,             0.63939,            0.016966,           0.0050758,                   0,           0.0004258,           0.0004258,           0.0004258
                  60,            0.019616,           0.0091902,                   0,             0.89422,             0.80828,             0.88554,              0.6532,            0.017696,           0.0047818,                   0,           0.0004159,           0.0004159,           0.0004159
                  61,            0.019577,           0.0088773,                   0,             0.91584,             0.80828,             0.89211,              0.6527,            0.016987,           0.0048303,                   0,            0.000406,            0.000406,            0.000406
                  62,            0.019456,           0.0086794,                   0,             0.88543,             0.77454,             0.85998,             0.64186,            0.016773,           0.0049341,                   0,           0.0003961,           0.0003961,           0.0003961
                  63,            0.018971,           0.0085398,                   0,             0.86771,             0.80023,              0.8723,             0.64556,            0.016991,           0.0050764,                   0,           0.0003862,           0.0003862,           0.0003862
                  64,            0.019281,            0.008273,                   0,             0.91238,             0.77996,             0.87047,             0.64906,            0.017025,           0.0050733,                   0,           0.0003763,           0.0003763,           0.0003763
                  65,            0.018568,           0.0087658,                   0,             0.90374,             0.79773,             0.87398,             0.65031,            0.016648,           0.0051957,                   0,           0.0003664,           0.0003664,           0.0003664
                  66,            0.018743,            0.008341,                   0,             0.90291,             0.76989,              0.8631,             0.65761,            0.016612,           0.0055819,                   0,           0.0003565,           0.0003565,           0.0003565
                  67,            0.018596,           0.0083352,                   0,               0.865,             0.77124,             0.85431,             0.62436,            0.017007,           0.0055009,                   0,           0.0003466,           0.0003466,           0.0003466
                  68,            0.018129,           0.0082499,                   0,             0.90024,             0.76688,             0.86277,             0.64743,            0.016893,           0.0051329,                   0,           0.0003367,           0.0003367,           0.0003367
                  69,            0.018137,           0.0081619,                   0,             0.82438,             0.81481,             0.85769,             0.65083,            0.016053,             0.00516,                   0,           0.0003268,           0.0003268,           0.0003268
                  70,            0.018127,           0.0079255,                   0,             0.87215,             0.72827,             0.82316,             0.62333,            0.017008,           0.0057756,                   0,           0.0003169,           0.0003169,           0.0003169
                  71,            0.017492,           0.0078802,                   0,             0.87991,             0.79739,             0.85797,             0.65678,            0.016429,           0.0053098,                   0,            0.000307,            0.000307,            0.000307
                  72,            0.017684,           0.0085371,                   0,             0.86325,             0.81481,             0.86668,             0.65212,            0.016886,           0.0048804,                   0,           0.0002971,           0.0002971,           0.0002971
                  73,            0.016173,           0.0079437,                   0,             0.89495,             0.79807,             0.87644,             0.65427,             0.01633,           0.0050436,                   0,           0.0002872,           0.0002872,           0.0002872
                  74,            0.016581,           0.0079356,                   0,             0.87439,             0.78859,             0.87164,             0.65832,            0.016138,           0.0051771,                   0,           0.0002773,           0.0002773,           0.0002773
                  75,            0.016833,           0.0074138,                   0,              0.8773,             0.82353,             0.87985,             0.64405,            0.017055,           0.0051855,                   0,           0.0002674,           0.0002674,           0.0002674
                  76,            0.016187,           0.0075559,                   0,             0.92469,             0.78214,             0.87595,             0.67396,            0.016148,           0.0051252,                   0,           0.0002575,           0.0002575,           0.0002575
                  77,            0.016145,           0.0076524,                   0,             0.92193,             0.82327,             0.89354,             0.68333,            0.015887,             0.00468,                   0,           0.0002476,           0.0002476,           0.0002476
                  78,            0.016299,           0.0074522,                   0,             0.92078,             0.79521,             0.87838,             0.66771,            0.016526,           0.0050647,                   0,           0.0002377,           0.0002377,           0.0002377
                  79,            0.015583,           0.0071335,                   0,             0.90159,             0.83834,             0.90111,             0.69829,            0.015796,           0.0045102,                   0,           0.0002278,           0.0002278,           0.0002278
                  80,            0.014347,           0.0068371,                   0,             0.91723,             0.79521,             0.87902,             0.67899,            0.015678,           0.0051335,                   0,           0.0002179,           0.0002179,           0.0002179
                  81,            0.014424,           0.0067476,                   0,             0.92127,             0.79031,             0.87772,             0.67185,            0.015984,           0.0053718,                   0,            0.000208,            0.000208,            0.000208
                  82,             0.01434,           0.0061686,                   0,             0.91987,             0.82536,             0.89315,             0.68876,            0.015871,           0.0049543,                   0,           0.0001981,           0.0001981,           0.0001981
                  83,            0.013662,           0.0063548,                   0,             0.92179,             0.82135,             0.89353,             0.68521,            0.016114,           0.0052247,                   0,           0.0001882,           0.0001882,           0.0001882
