               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.047012,            0.018272,                   0,             0.53004,             0.45098,             0.45372,             0.20066,            0.032827,           0.0070926,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.049175,            0.018254,                   0,             0.50603,             0.43355,             0.44361,             0.19941,             0.03092,           0.0072586,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.045202,            0.018385,                   0,             0.69454,             0.60131,             0.66187,             0.33887,            0.026611,           0.0071915,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.046309,            0.018612,                   0,             0.64761,             0.52288,             0.57205,             0.29836,              0.0267,           0.0073375,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.045006,            0.018036,                   0,             0.55107,             0.55773,             0.54585,             0.27505,            0.028186,           0.0080277,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.044783,            0.017912,                   0,             0.57167,             0.46405,             0.47154,             0.21474,            0.033091,           0.0071881,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.044727,             0.01786,                   0,             0.65691,             0.56315,             0.59778,             0.26438,            0.028908,           0.0068987,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.043476,            0.017575,                   0,             0.59832,             0.48353,              0.4905,             0.25174,            0.029035,           0.0073165,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.044241,            0.017614,                   0,             0.61991,             0.50456,             0.55318,              0.3034,            0.025845,            0.007213,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.045668,            0.017543,                   0,             0.70689,              0.6095,             0.68618,             0.36116,            0.026765,           0.0066695,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.043771,            0.017305,                   0,             0.64071,             0.54391,             0.59506,             0.30293,            0.027633,           0.0068784,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.042949,            0.017698,                   0,             0.49021,             0.41062,             0.37954,             0.16895,            0.036466,           0.0083771,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.043718,            0.017867,                   0,             0.45586,             0.48584,             0.43881,             0.21137,            0.030612,           0.0087024,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.042031,            0.017455,                   0,             0.60078,             0.54424,             0.56059,             0.30066,            0.026445,           0.0074614,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.042909,            0.017265,                   0,             0.51759,             0.37691,             0.39796,             0.17532,            0.031858,            0.007072,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.042712,            0.017708,                   0,               0.626,             0.61994,             0.63598,             0.33418,            0.024551,           0.0070323,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.041484,            0.017038,                   0,             0.73244,              0.6122,             0.68531,              0.3582,            0.026442,           0.0066249,                   0,            0.002179,            0.002179,            0.002179
